   1.00000005E-03  -7.11495662E-03  -7.11483765    
   2.00000009E-03  -1.42295565E-02  -7.11430407    
   3.00000003E-03  -2.13434454E-02  -7.11341476    
   4.00000019E-03  -2.84562688E-02  -7.11216974    
   5.00000035E-03  -3.55676673E-02  -7.11056900    
   6.00000052E-03  -4.26772870E-02  -7.10861301    
   7.00000068E-03  -4.97847721E-02  -7.10630131    
   8.00000038E-03  -5.68897687E-02  -7.10363436    
   9.00000054E-03  -6.39919192E-02  -7.10061216    
   1.00000007E-02  -7.10908696E-02  -7.09723520    
   1.10000009E-02  -7.81862661E-02  -7.09350348    
   1.20000010E-02  -8.52777585E-02  -7.08941698    
   1.30000012E-02  -9.23649818E-02  -7.08497572    
   1.40000014E-02  -9.94475931E-02  -7.08018017    
   1.50000015E-02 -0.106525227      -7.07503080    
   1.60000008E-02 -0.113597535      -7.06952763    
   1.70000009E-02 -0.120664164      -7.06367111    
   1.80000011E-02 -0.127724767      -7.05746126    
   1.90000013E-02 -0.134778976      -7.05089855    
   2.00000014E-02 -0.141826451      -7.04398346    
   2.10000016E-02 -0.148866832      -7.03671598    
   2.20000017E-02 -0.155899763      -7.02909660    
   2.30000019E-02 -0.162924901      -7.02112579    
   2.40000021E-02 -0.169941902      -7.01280403    
   2.50000022E-02 -0.176950395      -7.00413179    
   2.60000024E-02 -0.183950052      -6.99510908    
   2.70000026E-02 -0.190940499      -6.98573685    
   2.80000027E-02 -0.197921410      -6.97601509    
   2.90000029E-02 -0.204892427      -6.96594477    
   3.00000031E-02 -0.211853191      -6.95552588    
   3.10000032E-02 -0.218803361      -6.94475937    
   3.20000015E-02 -0.225742593      -6.93364573    
   3.29999998E-02 -0.232670546      -6.92218542    
   3.39999981E-02 -0.239586860      -6.91037893    
   3.49999964E-02 -0.246491194      -6.89822674    
   3.59999947E-02 -0.253383189      -6.88572979    
   3.69999930E-02 -0.260262519      -6.87288857    
   3.79999913E-02 -0.267128855      -6.85970354    
   3.89999896E-02 -0.273981810      -6.84617567    
   3.99999879E-02 -0.280821085      -6.83230543    
   4.09999862E-02 -0.287646323      -6.81809378    
   4.19999845E-02 -0.294457167      -6.80354118    
   4.29999828E-02 -0.301253289      -6.78864813    
   4.39999811E-02 -0.308034360      -6.77341604    
   4.49999794E-02 -0.314800024      -6.75784492    
   4.59999777E-02 -0.321549952      -6.74193621    
   4.69999760E-02 -0.328283787      -6.72569036    
   4.79999743E-02 -0.335001200      -6.70910835    
   4.89999726E-02 -0.341701865      -6.69219065    
   4.99999709E-02 -0.348385453      -6.67493820    
   5.09999692E-02 -0.355051637      -6.65735197    
   5.19999675E-02 -0.361700058      -6.63943291    
   5.29999658E-02 -0.368330389      -6.62118196    
   5.39999641E-02 -0.374942303      -6.60260010    
   5.49999624E-02 -0.381535470      -6.58368826    
   5.59999608E-02 -0.388109565      -6.56444693    
   5.69999591E-02 -0.394664258      -6.54487753    
   5.79999574E-02 -0.401199222      -6.52498102    
   5.89999557E-02 -0.407714128      -6.50475788    
   5.99999540E-02 -0.414208651      -6.48420954    
   6.09999523E-02 -0.420682460      -6.46333694    
   6.19999506E-02 -0.427135229      -6.44214153    
   6.29999489E-02 -0.433566630      -6.42062378    
   6.39999509E-02 -0.439976364      -6.39878511    
   6.49999529E-02 -0.446364105      -6.37662649    
   6.59999549E-02 -0.452729523      -6.35414886    
   6.69999570E-02 -0.459072292      -6.33135366    
   6.79999590E-02 -0.465392113      -6.30824184    
   6.89999610E-02 -0.471688658      -6.28481483    
   6.99999630E-02 -0.477961630      -6.26107359    
   7.09999651E-02 -0.484210700      -6.23701906    
   7.19999671E-02 -0.490435570      -6.21265268    
   7.29999691E-02 -0.496635914      -6.18797588    
   7.39999712E-02 -0.502811432      -6.16298962    
   7.49999732E-02 -0.508961797      -6.13769531    
   7.59999752E-02 -0.515086710      -6.11209393    
   7.69999772E-02 -0.521185875      -6.08618689    
   7.79999793E-02 -0.527258992      -6.05997562    
   7.89999813E-02 -0.533305764      -6.03346157    
   7.99999833E-02 -0.539325833      -6.00664568    
   8.09999853E-02 -0.545318961      -5.97952938    
   8.19999874E-02 -0.551284790      -5.95211411    
   8.29999894E-02 -0.557223082      -5.92440128    
   8.39999914E-02 -0.563133478      -5.89639235    
   8.49999934E-02 -0.569015741      -5.86808872    
   8.59999955E-02 -0.574869573      -5.83949137    
   8.69999975E-02 -0.580694616      -5.81060219    
   8.79999995E-02 -0.586490631      -5.78142262    
   8.90000015E-02 -0.592257321      -5.75195360    
   9.00000036E-02 -0.597994447      -5.72219706    
   9.10000056E-02 -0.603701651      -5.69215441    
   9.20000076E-02 -0.609378695      -5.66182709    
   9.30000097E-02 -0.615025222      -5.63121700    
   9.40000117E-02 -0.620640993      -5.60032511    
   9.50000137E-02 -0.626225770      -5.56915331    
   9.60000157E-02 -0.631779194      -5.53770304    
   9.70000178E-02 -0.637301028      -5.50597572    
   9.80000198E-02 -0.642791033      -5.47397327    
   9.90000218E-02 -0.648248911      -5.44169712    
  0.100000024     -0.653674364      -5.40914869    
  0.101000026     -0.659067154      -5.37632990    
  0.102000028     -0.664426982      -5.34324217    
  0.103000030     -0.669753551      -5.30988741    
  0.104000032     -0.675046623      -5.27626705    
  0.105000034     -0.680305958      -5.24238300    
  0.106000036     -0.685531318      -5.20823669    
  0.107000038     -0.690722346      -5.17383003    
  0.108000040     -0.695878863      -5.13916492    
  0.109000042     -0.701000571      -5.10424280    
  0.110000044     -0.706087232      -5.06906557    
  0.111000046     -0.711138606      -5.03363466    
